location_id,date,last_updated,temp_c,temp_f,is_day,condition_text,condition_code,batch_id,load_dt
"Bangkok, Thailand",2024-05-27,2024-05-27 14:00,29.3,84.7,True,Partly cloudy,1103,e8c6d999-a807-403f-8eee-b4a49881e9bb,2025-01-16 21:49:31
"Bangkok, Thailand",2024-05-27,2024-05-27 14:00,29.3,84.7,True,Partly cloudy,1103,e8c6d999-a807-403f-8eee-b4a49881e9bb,2025-01-16 21:49:31
"Chiang Mai, Thailand",2024-05-27,2024-05-27 14:00,26.2,79.2,True,Light rain,1183,e8c6d999-a807-403f-8eee-b4a49881e9bb,2025-01-16 21:49:31
"Chiang Mai, Thailand",2024-05-27,2024-05-27 14:00,26.2,79.2,True,Light rain,1183,e8c6d999-a807-403f-8eee-b4a49881e9bb,2025-01-16 21:49:31
"Phuket, Thailand",2024-05-27,2024-05-27 14:00,28.2,82.8,True,Partly cloudy,1103,e8c6d999-a807-403f-8eee-b4a49881e9bb,2025-01-16 21:49:31
"Phuket, Thailand",2024-05-27,2024-05-27 14:00,28.2,82.8,True,Partly cloudy,1103,e8c6d999-a807-403f-8eee-b4a49881e9bb,2025-01-16 21:49:31
"Pattaya, Thailand",2024-05-27,2024-05-27 13:45,26.9,80.5,True,Patchy rain nearby,1167,e8c6d999-a807-403f-8eee-b4a49881e9bb,2025-01-16 21:49:31
"Pattaya, Thailand",2024-05-27,2024-05-27 13:45,26.9,80.5,True,Patchy rain nearby,1167,e8c6d999-a807-403f-8eee-b4a49881e9bb,2025-01-16 21:49:31
"Hat Yai, Thailand",2024-05-27,2024-05-27 14:00,25.4,77.7,True,Partly cloudy,1103,e8c6d999-a807-403f-8eee-b4a49881e9bb,2025-01-16 21:49:31
"Hat Yai, Thailand",2024-05-27,2024-05-27 14:00,25.4,77.7,True,Partly cloudy,1103,e8c6d999-a807-403f-8eee-b4a49881e9bb,2025-01-16 21:49:31
