location_id,date,date_epoch,maxtemp_c,maxtemp_f,mintemp_c,mintemp_f,avgtemp_c,avgtemp_f,maxwind_mph,maxwind_kph,totalprecip_mm,totalprecip_in,totalsnow_cm,avgvis_km,avgvis_miles,avghumidity,daily_will_it_rain,daily_chance_of_rain,daily_will_it_snow,daily_chance_of_snow,condition_text,condition_code,uv,batch_id,load_dt
"Bangkok, Thailand",2024-05-27,1728259200,32.9,91.2,25.5,78.0,28.7,83.7,6.7,10.8,1.09,0.04,0.0,10.0,6.0,72,True,86,False,0,Patchy rain nearby,1167,10.0,cc76d01b-246f-4e89-8ea1-794fa689d9c9,2025-01-16 21:49:31
"Bangkok, Thailand",2024-05-28,1728345600,32.2,89.9,25.7,78.2,28.7,83.7,7.2,11.5,7.81,0.31,0.0,9.8,6.0,71,True,89,False,0,Moderate rain,1324,9.0,cc76d01b-246f-4e89-8ea1-794fa689d9c9,2025-01-16 21:49:31
"Bangkok, Thailand",2024-05-29,1728432000,,87.7,25.8,78.5,27.7,81.9,6.5,10.4,26.8,1.06,0.0,9.4,5.0,79,True,87,False,0,Heavy rain,2410,9.0,cc76d01b-246f-4e89-8ea1-794fa689d9c9,2025-01-16 21:49:31
"Chiang Mai, Thailand",2024-05-27,1728259200,31.1,88.0,20.7,69.3,25.0,76.9,2.7,4.3,4.79,0.19,0.0,7.3,4.0,84,True,89,False,0,Patchy rain nearby,1167,10.0,cc76d01b-246f-4e89-8ea1-794fa689d9c9,2025-01-16 21:49:31
"Chiang Mai, Thailand",2024-05-28,1728345600,31.7,89.1,20.5,68.8,24.9,76.8,4.3,6.8,2.39,0.09,0.0,7.9,4.0,83,True,88,False,0,Patchy rain nearby,1167,10.0,cc76d01b-246f-4e89-8ea1-794fa689d9c9,2025-01-16 21:49:31
"Chiang Mai, Thailand",2024-05-29,1728432000,31.6,88.9,20.6,69.2,24.8,76.6,3.8,6.1,5.19,0.2,0.0,6.7,4.0,85,True,89,False,0,Moderate rain,1324,10.0,cc76d01b-246f-4e89-8ea1-794fa689d9c9,2025-01-16 21:49:31
"Phuket, Thailand",2024-05-27,1728259200,28.2,82.7,25.3,77.6,26.7,80.1,11.6,18.7,4.56,0.18,0.0,9.3,5.0,80,True,88,False,0,Patchy rain nearby,1167,11.0,cc76d01b-246f-4e89-8ea1-794fa689d9c9,2025-01-16 21:49:31
"Phuket, Thailand",2024-05-28,1728345600,29.0,84.2,25.4,77.8,27.3,81.1,6.9,11.2,9.62,0.38,0.0,9.7,6.0,78,True,88,False,0,Moderate rain,1324,11.0,cc76d01b-246f-4e89-8ea1-794fa689d9c9,2025-01-16 21:49:31
"Phuket, Thailand",2024-05-29,1728432000,28.9,84.0,26.3,79.4,27.6,81.7,6.0,9.7,1.3,0.05,0.0,9.8,6.0,73,True,88,False,0,Patchy rain nearby,1167,11.0,cc76d01b-246f-4e89-8ea1-794fa689d9c9,2025-01-16 21:49:31
"Pattaya, Thailand",2024-05-27,1728259200,30.6,87.1,25.9,78.7,28.1,82.6,9.2,14.8,7.34,0.29,0.0,9.6,5.0,75,True,96,False,0,Moderate rain,1324,10.0,cc76d01b-246f-4e89-8ea1-794fa689d9c9,2025-01-16 21:49:31
"Pattaya, Thailand",2024-05-28,1728345600,29.8,85.6,25.3,77.5,27.6,81.6,9.8,15.8,27.37,1.08,0.0,9.0,5.0,79,True,87,False,0,Heavy rain,2410,10.0,cc76d01b-246f-4e89-8ea1-794fa689d9c9,2025-01-16 21:49:31
"Pattaya, Thailand",2024-05-29,1728432000,29.7,85.5,25.7,78.2,27.5,81.6,5.8,9.4,2.92,0.12,0.0,9.9,6.0,77,True,89,False,0,Patchy rain nearby,1167,11.0,cc76d01b-246f-4e89-8ea1-794fa689d9c9,2025-01-16 21:49:31
"Hat Yai, Thailand",2024-05-27,1728259200,28.2,82.8,23.2,73.8,25.3,77.6,6.7,10.8,7.48,0.29,0.0,8.5,5.0,87,True,87,False,0,Moderate rain,1324,8.0,cc76d01b-246f-4e89-8ea1-794fa689d9c9,2025-01-16 21:49:31
"Hat Yai, Thailand",2024-05-28,1728345600,31.2,88.2,23.5,74.2,26.7,80.0,5.6,9.0,8.64,0.34,0.0,9.6,5.0,81,True,88,False,0,Moderate rain,1324,11.0,cc76d01b-246f-4e89-8ea1-794fa689d9c9,2025-01-16 21:49:31
"Hat Yai, Thailand",2024-05-29,1728432000,31.4,88.4,23.8,74.9,26.6,79.9,3.6,5.8,13.12,0.52,0.0,9.4,5.0,81,True,87,False,0,Moderate rain,1324,11.0,cc76d01b-246f-4e89-8ea1-794fa689d9c9,2025-01-16 21:49:31
